id,tweets,direct_claim,direct_claim_probability,indirect_claim,indirect_claim_probability,opinion,opinion_probability,quote,quote_probability,not_claim,not_claim_probability,level_2,level_2_probability,level_3_tag,iids
0,i never thought i'd be getting a haircut at my porch.  #covid_19 #covid #lockdown #lahore https://t.co/9dkd8y8gje,no,0.5315316804401565,no,0.9068492368347691,no,0.7471042059042746,no,0.9744473194690002,no,0.8543976161219868,fact_check,0.6538885657415638,others,lEQ7ETis_normal.jpg
1,@datcatmann everyday is sunday now a days! is lockdown over!?,no,0.5315316804401565,no,0.9068492368347691,no,0.7471042059042746,no,0.9744473194690002,no,0.8543976161219868,fact_check,0.6538885657415638,others,InSQvSMT_normal.jpg
2,"38,499 individuals have been infected with #covid19 in lahore including 924 in last 24 hrs, while 659 lives have been lost in the city with including 3 in last 24 hrs  5,722 people have been infected in rawalpindi &amp; 291 lives have been lost in the district.",yes,0.5171375463147586,no,0.8494270711155648,no,0.7769045584096853,no,0.97486586761204,no,0.9113395247591842,fact_check,0.739235901349079,rumors,vjSekH60_normal.jpg
3,@siasatpk good strategy to make youthia a chuthiya. . na test kero na corona case aaen.,no,0.5315316804401565,no,0.9068492368347691,no,0.7471042059042746,no,0.9744473194690002,no,0.8543976161219868,fact_check,0.6538885657415638,others,Q0iXBmYH_normal.jpg
4,"74,202 individuals have been infected with #covid19 in punjab till 10pm june 27, 2020. 1,322 new #coronavirus cases have been detected, 6,600 tests performed while 17 more lives have been lost in last 24 hrs 1,673 lives in total have been lost while 25,162 people have recovered https://t.co/f1ep1tq2cv",yes,0.6016459152849181,no,0.8610895388573528,no,0.7979603304841433,no,0.9757507755462701,no,0.9373776454362736,fact_check,0.8387899063340744,others,vjSekH60_normal.jpg
5,@_horsemen__ lockdown tk wait ho jay ga? 🤣,no,0.5315316804401565,no,0.9068492368347691,no,0.7471042059042746,no,0.9744473194690002,no,0.8543976161219868,fact_check,0.6538885657415638,others,4oGWjRiH_normal.jpg
6,"my sister wrote an article about men incompetency during lockdown, it will be published soon in newspaper. waiting anxiously ❤ love you my amor ❤",no,0.5315316804401565,no,0.9068492368347691,no,0.7471042059042746,no,0.9744473194690002,no,0.8543976161219868,fact_check,0.6538885657415638,others,4xQ0ietu_normal.jpg
7,@notyouraleshbae yahan sy break ly k jao gi kahan is lockdown mai,no,0.5315316804401565,no,0.9068492368347691,no,0.7471042059042746,no,0.9744473194690002,no,0.8543976161219868,fact_check,0.6538885657415638,others,qzgZXHYB_normal.jpg
8,@traumaticpasta let’s plan hunza/skardu after lockdown,no,0.5315316804401565,no,0.9068492368347691,no,0.7471042059042746,no,0.9744473194690002,no,0.8543976161219868,fact_check,0.6538885657415638,others,n7Z8SPTW_normal.jpg
9,@huzaifa_ruman lockdown k aftershocks,no,0.5315316804401565,no,0.9068492368347691,no,0.7471042059042746,no,0.9744473194690002,no,0.8543976161219868,fact_check,0.6538885657415638,others,slQ4VAQ2_normal.jpg
10,new symptom of corona 😛😇🤣 https://t.co/kw17izyluf,no,0.5315316804401565,no,0.9068492368347691,no,0.7471042059042746,no,0.9744473194690002,no,0.8543976161219868,fact_check,0.6538885657415638,others,NCnoBD7n_normal.jpg
11,chief fixit lahore ar. malik saad zaheer has beed tested positive for covid-19  may allah swt bless him good health and grant him speedy recovery! ameen.  #fixitlahore #saadzaheer #covid19 https://t.co/f6njpjdpyo,yes,0.5953886630628066,no,0.9018529372625765,no,0.7973071712815415,no,0.9757053921990766,no,0.8915515070937854,fact_check,0.7295165553277337,others,IvWrjLP7_normal.jpg
12,@biselhrofficial sir jo students 9th+10th ka exams de rahy thy private un ky exams hon gy ya nhi jo exams lockdown ki wja sa nhi howe  kindly guide me sir,no,0.5315316804401565,no,0.9068492368347691,no,0.7471042059042746,no,0.9744473194690002,no,0.8543976161219868,fact_check,0.6538885657415638,others,rXPrBL0g_normal.jpg
